Name,ticker,date,Variable,Value,timehorizon
Goldman Sachs,GS,2020-07-29,Opening Price,201.699997,1Y
Goldman Sachs,GS,2020-07-30,Opening Price,199.5,1Y
Goldman Sachs,GS,2020-07-31,Opening Price,199.839996,1Y
Goldman Sachs,GS,2020-08-03,Opening Price,198.490005,1Y
Goldman Sachs,GS,2020-08-04,Opening Price,199.350006,1Y
Goldman Sachs,GS,2020-08-05,Opening Price,203.169998,1Y
Goldman Sachs,GS,2020-08-06,Opening Price,205,1Y
Goldman Sachs,GS,2020-08-07,Opening Price,203.479996,1Y
Goldman Sachs,GS,2020-08-10,Opening Price,209.589996,1Y
Goldman Sachs,GS,2020-08-11,Opening Price,212.720001,1Y
Goldman Sachs,GS,2020-08-12,Opening Price,214.699997,1Y
Goldman Sachs,GS,2020-08-13,Opening Price,210.410004,1Y
Goldman Sachs,GS,2020-08-14,Opening Price,207.460007,1Y
Goldman Sachs,GS,2020-08-17,Opening Price,207,1Y
Goldman Sachs,GS,2020-08-18,Opening Price,203.449997,1Y
Goldman Sachs,GS,2020-08-19,Opening Price,202.399994,1Y
Goldman Sachs,GS,2020-08-20,Opening Price,200.759995,1Y
Goldman Sachs,GS,2020-08-21,Opening Price,200.110001,1Y
Goldman Sachs,GS,2020-08-24,Opening Price,203.110001,1Y
Goldman Sachs,GS,2020-08-25,Opening Price,209.990005,1Y
Goldman Sachs,GS,2020-08-26,Opening Price,205.889999,1Y
Goldman Sachs,GS,2020-08-27,Opening Price,206.679993,1Y
Goldman Sachs,GS,2020-08-28,Opening Price,211.889999,1Y
Goldman Sachs,GS,2020-08-31,Opening Price,205.5,1Y
Goldman Sachs,GS,2020-09-01,Opening Price,203.600006,1Y
Goldman Sachs,GS,2020-09-02,Opening Price,205.789993,1Y
Goldman Sachs,GS,2020-09-03,Opening Price,211.75,1Y
Goldman Sachs,GS,2020-09-04,Opening Price,210.889999,1Y
Goldman Sachs,GS,2020-09-08,Opening Price,209.509995,1Y
Goldman Sachs,GS,2020-09-09,Opening Price,204.190002,1Y
Goldman Sachs,GS,2020-09-10,Opening Price,203.729996,1Y
Goldman Sachs,GS,2020-09-11,Opening Price,200.240005,1Y
Goldman Sachs,GS,2020-09-14,Opening Price,203.300003,1Y
Goldman Sachs,GS,2020-09-15,Opening Price,202,1Y
Goldman Sachs,GS,2020-09-16,Opening Price,198.490005,1Y
